"BIN2508C - 25cm x 8"" - 8 AFINAÇÕES - ARO LARGO ","2071,875",,,
ALUMÍNIO ,,sub,,
"731 - 17cm x 6"" - 5 AFINAÇÕES ","877,5",,,
"BAL2506C - 25cm x 6"" - 5 AFINAÇÕES - ARO LARGO ","1462,5",,,
"BAL2508C - 25cm x 8"" - 8 AFINAÇÕES - ARO LARGO",2262,,,
"BAL2508CPP - 25cm x 8"" - 8 AFINAÇÕES - ARO LARGO - (2 CORES) ",2730,,,
"BAL2609CC - 26cm x 9"" - 9 AFINAÇÕES - ARO LARGO ",2691,,,
"BAL3010C - 30cm x 10"" - 10 AFINAÇÕES - ARO LARGO ","2632,5",,,
"BAL3010CPP - 25cm x 10"" - 8 AFINAÇÕES - ARO LARGO - (2 CORES) ","2817,75",,,
BAL3010CCR  - CUICA 10 ALUMINIO ARO CROMADO ,2700,,,
ESPECIAL ,,sub,,
"BINOURO - INOX 10"" - FERRAGENS DE LATÃO - 10 AFINAÇÕES ","4889,625",,,
"BALOURO - ALUMINIO 10"" - FERRAGENS DE LATÃO - 10 AFINAÇÕES ",4641,,,
"BMEOURO - MADEIRA 8"" - FERRAGEM DE LATÃO - 8 AFINAÇÕES ","4972,5",,,
CHAVE DE AFINAÇÃO ,,sub,,
890G - CHAVE DE AFINAÇÃO ESTAMPADA,"48,75",,,
888G - CHAVE DE AFINAÇÃO TUBULAR,"91,65",,,
"891G - CHAVE DE AFINAÇÃO EM ""L"" PROFISSIONAL ",195,,,
888GS - CHAVE DE AFINAÇÃO TUBULAR ESPECIAL ,"214,5",,,
ACESSÓRIOS ,,sub,,
2230 - VARETA DE BAMBU PARA CUICA (GAMBITO) - (PACOTE COM 2) ,"124,8",,,
839 - GORGURÃO 22CM PROFISSIONAL (PACOTE COM 10 UNIDADES) ,1170,,,
842 - TALABARTE DE COURO 2 GANCHOS ,390,,,
842N - TALABARTE DE NYLON 2 GANCHOS ,"191,1",,,
828G - TIRANTE 20cm ZINCADO - COM PORCA -UNIDADE ,39,,,
828GG - TIRANTE 23cm ZINCADO - COM PORCA -UNIDADE ,"46,8",,,
829G - TIRANTE 25cm ZINCADO - COM PORCA - UNIDADE ,"48,75",,,
DJÊMBE,,categoria,,
"853 - 13"" - 7 AFINAÇÕES - PELE LAMINADA",6630,,,
"854 - 14"" - 8 AFINAÇÕES - PELE LAMINADA","6878,625",,,
CHAVE DE AFINAÇÃO PARA TIRANTE,,sub,,
892G - CHAVE DE AFINAÇÃO 12/13 ,"101,1075",,,
ACESSÓRIOS ,,sub,,
848G - TIRANTE PARA DJEMBE (PACOTE COM 8 UNIDADES) ,"414,375",,,
"849 - COLUNA PARA DJEMBE, EPOXI (PACOTE COM 8 UNIDADES) ","911,625",,,
842 - TALABARTE DE COURO 2 GANCHOS,"326,5275",,,
842N - TALABARTE DE NYLON 2 GANCHOS,"162,435",,,
GANZÁ,,categoria,,
PLÁSTICO ,,sub,,
