RC04ELN,Cavaco Paulistinha Studio Elétrico Natural  tampo maciço,,,$ 4.423,
RC04ELB,Cavaco Paulistinha Studio Elétrico Branco   tampo maciço,,,$ 4.748,
RC04ELP,Cavaco Paulistinha Studio Elétrico Preto   tampo maciço,,,$ 4.748,
RC11ATF,"Cavaco Estilo Ativo 2 B. FISHMAN c/ Afinador Natural Fosco   tampo , laterais e fundo maciço Mogno",,,$ 9.804,
RC20ACN,"Cavaco Nogueira Acústico Natural   tampo maciço, laterais e fundo maciços Nogueira + estojo",,,$ 9.632,
RC20ATN,"Cavaco Nogueira Ativo 2 B. FISHMAN c/ Afinador Nat. tampo maciço, laterais e fundo Nogueira maciço + estojo",,,$ 11.528,
RC06ACN-E,"Cavaco Concertista Acústico Natural Escuro    tampo maciço, laterais e fundo maciços Jacarandá + estojo",,,$ 10.580,
RC06ATN-E,"Cavaco Concertista Ativo 2 B. FISHMAN c/ Afinador Nat. Esc. tampo maciço, laterais e fundo Jacarandá maciço + estojo",,,$ 12.476,
RC06ACN-C,"Cavaco Concertista Acústico Natural Claro tampo maciço, laterais e fundo Maple maciço + estojo",,,$ 10.580,
RC06ATN-C,"Cavaco Concertista Ativo 2 B. FISHMAN c/ Afinador Nat. Claro  tampo maciço, laterais e fundo Maple maciço + estojo",,,$ 12.476,
RC07ATNC,Cavaco  Profissional Ativo 2 B. FISHMAN c/ Afinador Natural Claro   tampo maciço                                       ,,,$ 7.736,
RC07ATNE,Cavaco  Profissional Ativo 2 B. FISHMAN c/ Afinador Natural Escuro   tampo maciço,,,$ 7.736,
RC15AT-LP,Cavaco Presença Brasil Ativo 2 B. c/ Afinador Louro Preto     tampo maciço,,,$ 6.698,
RC16ATF,Cavaco Moreno Ativo 2 B. c/ Afinador Natural Fosco,,,$ 6.219,
RC17ATN,Cavaco Show Ativo 2 B. FISHMAN c/ Afinador   tampo maciço,,,$ 8.332,
COD.,Série Assinada,,,0,categoria
RC13ATN-F,"Cavaco Fogaça Ativo 2 B. c/ Afinador Fosco  tampo, lateral e fundo maciço de Mogno",,,$ 6.400,
RC04EL-MS,Cavaco Paulistinha Mário Sérgio Elétrico  tampo maciço,,,$ 5.903,
RV161AC,Viola Nestor da Viola Acústica  tampo maciço,,,$ 7.501,
RV161AT,Viola Nestor da Viola Ativa 4 B. c/ Afinador Digital  tampo maciço,,,$ 9.416,
RV181ACN,Viola Tião Carreiro STD. Acústica Natural    tampo maciço    ,,,$ 10.174,
RV181ATN,Viola Tião Carreiro STD. Ativa 4 B. c/ Afinador Digital Natural    tampo maciço,,,$ 12.088,
RV182ACN,Viola Tião Carreiro LX. Acústica Natural    tampo maciço e braço de Maple                ,,,$ 14.417,
RV182ATN,Viola Tião Carreiro LX. Ativa 4 B. FISHMAN c/ Afinador Natural    tampo maciço e braço de Maple ,,,$ 18.309,
RV192ACN,Viola Inezita Barroso Acústica Natural    tampo maciço,,,$ 7.664,
RV192ATN,Viola Inezita Barroso Ativa 4 B. c/ Afinador Digital Natural   tampo maciço,,,$ 9.578,
RX292ACN,Violão Inezita Barroso Acústico Natural   tampo maciço,,,$ 5.840,
RX292ATN,Violão Inezita Barroso Ativo 4 B. c/ Afinador Digital Natural    tampo maciço,,,$ 7.754,
COD.,Percussão,,,0,categoria
RPT01-EL,Tanajura Elétrico,,,$ 4.639,
RPP10AS ,"Pandeiro 10"" Profissional Madeira Fosca Afinação Simples Pele Super Nailon",,,$ 2.355,
RPP10AD,"Pandeiro 10"" Profissional Madeira Fosca Afinação Dupla Pele Super Nailon",,,$ 2.716,
RPP11AS   ,"Pandeiro 11"" Profissional Madeira Fosca Afinação Simples Pele Super Nailon",,,$ 2.436,
RPP11AD,"Pandeiro 11"" Profissional Madeira Fosca Afinação Dupla Pele Super Nailon",,,$ 2.806,
RPP12AS   ,"Pandeiro 12"" Profissional Madeira Fosca Afinação Simples Pele Super Nailon",,,$ 2.518,
RPP12AD ,"Pandeiro 12"" Profissional Madeira Fosca Afinação Dupla Pele Super Nailon",,,$ 2.879,
RPP10ASC,"Pandeiro 10"" Profissional Madeira Fosca Afinação Simples Pele Animal",,,$ 2.454,
RPP11ASC,"Pandeiro 11"" Profissional Madeira Fosca Afinação Simples Pele Animal",,,$ 2.545,
RPPN10AD,"Pandeiro 10"" Profissional Madeira Nogueira Natural Afinação Dupla Pele Super Nailon",,,$ 2.960,
RPPN11AD,"Pandeiro 11"" Profissional Madeira Nogueira Natural Afinação Dupla Pele Super Nailon",,,$ 3.068,
RPPN12AD,"Pandeiro 12"" Profissional Madeira Nogueira Natural Afinação Dupla Pele Super Nailon",,,$ 3.141,
RPRC10,"Rebolo Cônico Madeira Fosca 50X10""",,,$ 3.601,
RPRC12,"Rebolo Cônico Madeira Fosca 50X12""",,,$ 3.754,
RPR10,"Relobo Madeira Fosca 50X10""",,,$ 3.601,
RPR12,"Rebolo Madeira Fosca 50X12""",,,$ 3.754,
RPRM10,"Repique de Mão Madeira Fosca 30X10""",,,$ 2.870,
RPRM12,"Repique de Mão Madeira Fosca 30X12""",,,$ 3.077,
RPRA10,"Repique de Anel Madeira Fosca 30X10""",,,$ 3.773,
RPRA12,"Repique de Anel Madeira Fosca 30X12""",,,$ 4.134,
RPTT14,"Tan Tan Madeira Fosca Pele Animal 70X14"" ",,,$ 4.170,
RPT12,"Timbal Madeira Fosca Pele Nailon 90X14"" 12 afinações",,,$ 4.919,
