"2323 - ESTEIRA 24 FIOS 12"" ",$ 350,
"2327 - ESTEIRA 24 FIOS 14"" ",$ 356,
"2328 - ESTEIRA 30 FIOS 14""",$ 424,
"2329 - ESTEIRA 36 FIOS 14"" ",$ 490,
"2330 - ESTEIRA 40 FIOS 14"" ",$ 526,
CARRILHÃO,,categoria
SIMPLES ,,sub
555 - 30 NOTAS SIMPLES - ESCALA SONORA ,$ 1.764,
557 - 40 NOTAS SIMPLES - ESCALA SONORA,$ 2.260,
DUPLO ,,sub
556 - 60 NOTAS - DUPLO - ESCALA SONORA ,$ 2.900,
558 - 80 NOTAS - DUPLO - ESCALA SONORA ,$ 4.020,
CAPA ,,sub
CAP555 -CAPA PARA CARRILHÃO PEQUENO ,$ 294,
CAP558 - CAPA PARA CARRILHÃO GRANDE ,$ 310,
ESTANTE,,sub
EST-CAR ESTANTE DE CARRILHÃO ,$ 1.940,
CAXIXI,,categoria
5011 - CAXIXI PEQUENO ,$ 448,
5012 - CAXIXI MÉDIO ,$ 512,
5013 - CAXIXI GRANDE ,$ 768,
CLAVE DE RUMBA,,categoria
CRME - CLAVE DE RUMBA ,$ 768,
CONGA,,categoria
"902-24R - REQUINTO - 80cm x 9""3/4",$ 13.080,
903-26R - QUINTO - 80cm x 11” ,$ 13.720,
904-27R - CONGA - 80cm x 11”3/4 ,$ 14.520,
905-28R - TUMBADORA (TUMBA) - 80cm x 12”1/2 ,$ 14.968,
ESTANTE ,,sub
5999 - SUPORTE PARA CONGA/TUMBADORA INDIVIDUAL ,$ 3.720,
5999D - SUPORTE PARA CONGA/TUMBADORA CENTRAL DUPLA ,$ 4.040,
 CHAVE DE AFINAÇÃO ,,sub
889G - CHAVE DE AFINAÇÃO 16/17 ,$ 276,
ACESSÓRIOS ,,sub
846 - TIRANTE PARA TUMBADORA (PACOTE COM 5),$ 550,
"848  - COLUNA PARA TUMBADORA COMPLETA, CRAQUEADA (UNIDADE)",$ 710,
CONGA COMPACTA,,categoria
"903-904CPT - QUINTO 11"" E CONGA 11""3/4 COM SUPORTE ",$ 16.700,
"904-905CPT - CONGA 11"" 3/4 E TUMBA 12"" 1/2 COM SUPORTE ",$ 19.100,
"903-904-905CPT - QUINTO 11"", CONGA 11"" 3/4 E TUMBA 12"" 1/2 COM SUPORTE ",$ 23.100,
CHAVE DE AFINAÇÃO ,,sub
891G - CHAVE DE AFINAÇÃO ALIEN,$ 166,
CORNETA,,categoria
CORNETA ,,sub
3200 - CORNETA CURTA EM SIB NIQUELADA ,$ 4.508,
3201 - CORNETA CURTA EM RÉ NIQUELADA ,$ 4.341,
3202 - CORNETA LONGA EM SIB NIQUELADA,$ 4.341,
3203 - CORNETA LONGA EM DÓ NIQUELADA ,$ 4.932,
3205 - CORNETA LONGA EM FÁ (MOR) NIQUELADA ,$ 4.674,
3220 - CLARIM EM MIB NIQUELADO,$ 5.308,
CORNETA,,categoria
3200G - CORNETA CURTA EM SIB NIQUELADA C/ GATILHO E CHAVE D'AGUA,$ 6.496,
3201G - CORNETA CURTA EM RÉ NIQUELADA C/ GATILHO E CHAVE D'AGUA,$ 5.976,
3202G - CORNETA LONGA EM SIB NIQUELADA C/ GATILHO E CHAVE D'AGUA ,$ 6.220,
3205G - CORNETA LONGA EM FÁ (MOR) NIQUELADA C/ GATILHO E CHAVE D'AGUA ,$ 6.735,
3220G - CLARIM EM MIB NIQUELADO C/ GATILHO E CHAVE D'AGUA,$ 7.048,
BOCAL ,,sub
2500 - BOCAL PARA CORNETAS ,$ 794,
CORNETÃO,,categoria
CORNETÃO ,,sub
3210 - CORNETÃO HORIZONTAL EM SIB NIQUELADO ,$ 6.257,
3211 - CORNETÃO HORIZONTAL EM FÁ NIQUELADO,$ 6.735,
3212 - CORNETÃO HORIZONTAL EM MIB NIQUELADO ,$ 7.502,
CORNETÃO,,categoria
3210G - CORNETÃO HORIZONTAL EM SIB NIQUELADO C/ GATILHO E CHAVE D'AGUA ,$ 11.740,
3211G - CORNETÃO HORIZONTAL EM FÁ NIQUELADO C/ GATILHO E CHAVE D'AGUA ,$ 13.388,
3212G - CORNETÃO HORIZONTAL EM MIB NIQUELADO C/ GATILHO E CHAVE D'AGUA,$ 14.940,
BOCAL ,,sub
2501 - BOCAL PARA CORNETÕES ,$ 1.291,
CUÍCA,,categoria
INOX ,,sub
"BIN2506C - 25cm x 6"" - 5 AFINAÇÕES - ARO LARGO",$ 2.060,
"BIN2508C - 25cm x 8"" - 8 AFINAÇÕES - ARO LARGO ",$ 2.700,
ALUMÍNIO ,,sub
"731 - 17cm x 6"" - 5 AFINAÇÕES ",$ 1.420,
"BAL2506C - 25cm x 6"" - 5 AFINAÇÕES - ARO LARGO ",$ 1.900,
"BAL2508C - 25cm x 8"" - 8 AFINAÇÕES - ARO LARGO",$ 2.556,
"BAL2508CPP - 25cm x 8"" - 8 AFINAÇÕES - ARO LARGO - (2 CORES) ",$ 2.940,
"BAL2609CC - 26cm x 9"" - 9 AFINAÇÕES - ARO LARGO ",$ 2.908,
"BAL3010C - 30cm x 10"" - 10 AFINAÇÕES - ARO LARGO ",$ 2.860,
"BAL3010CPP - 25cm x 10"" - 8 AFINAÇÕES - ARO LARGO - (2 CORES) ",$ 3.420,
BAL3010CCR  - CUICA 10 ALUMINIO ARO CROMADO ,$ 3.200,
ESPECIAL ,,sub
"BINOURO - INOX 10"" - FERRAGENS DE LATÃO - 10 AFINAÇÕES ",$ 5.420,
"BALOURO - ALUMINIO 10"" - FERRAGENS DE LATÃO - 10 AFINAÇÕES ",$ 5.180,
"BMEOURO - MADEIRA 8"" - FERRAGEM DE LATÃO - 8 AFINAÇÕES ",$ 5.500,
CHAVE DE AFINAÇÃO ,,sub
890G - CHAVE DE AFINAÇÃO ESTAMPADA,$ 80,
888G - CHAVE DE AFINAÇÃO TUBULAR,$ 150,
"891G - CHAVE DE AFINAÇÃO EM ""L"" PROFISSIONAL ",$ 320,
888GS - CHAVE DE AFINAÇÃO TUBULAR ESPECIAL ,$ 352,
ACESSÓRIOS ,,sub
2230 - VARETA DE BAMBU PARA CUICA (GAMBITO) - (PACOTE COM 2) ,$ 205,
839 - GORGURÃO 22CM PROFISSIONAL (PACOTE COM 10 UNIDADES) ,$ 1.920,
842 - TALABARTE DE COURO 2 GANCHOS ,$ 640,
842N - TALABARTE DE NYLON 2 GANCHOS ,$ 314,
828G - TIRANTE 20cm ZINCADO - COM PORCA -UNIDADE ,$ 64,
828GG - TIRANTE 23cm ZINCADO - COM PORCA -UNIDADE ,$ 77,
829G - TIRANTE 25cm ZINCADO - COM PORCA - UNIDADE ,$ 80,
DJÊMBE,,categoria
"853 - 13"" - 7 AFINAÇÕES - PELE LAMINADA",$ 7.400,
