PELE PRISMÁTICA / PRETA / BRASIL ,$0,categoria
"8953 06"" Leitosa Bandeira Do Brasil P3 ",$153,
"8954 10"" Leitosa Bandeira Do Brasil P3 ",$185,
"8943 11"" Batedeira Prismática ",$195,
"8955 11"" Leitosa Bandeira Do Brasil P3 ",$205,
"8956 12"" Leitosa Bandeira Do Brasil P3 ",$255,
CAJON,$0,categoria
8402 Cajon Conga Madeira Timbra ,$3.904,
8401 Cajon Conga Quinto Madeira Timbra ,$5.048,
8407 Cajon Conga Tumba Madeira Timbra ,$3.923,
TIMBRA - ACESSÓRIOS DE DE PERCUSSÃO ,$0,categoria
"8587 Capa Reforçada P/Bacurinha 08""X30Cm Nylon Timbra ",$1.422,
8593 Capa Reforçada P/Chocalho Nylon Timbra ,$953,
"8588 Capa Reforçada P/Cuíca 08""X30Cm Nylon Timbra ",$1.412,
"8589 Capa Reforçada P/Cuíca 10""X30Cm Nylon Timbra ",$1.439,
"8590 Capa Reforçada P/Malacacheta 12""X30Cm Nylon Timbra ",$1.714,
"8391 Capa Reforçada P/Pandeiro 10"" Nylon Timbra ",$744,
"8392 Capa Reforçada P/Pandeiro 12"" Nylon Timbra ",$814,
8591 Capa Reforçada P/Reco-Reco Nylon Timbra ,$953,
"8592 Capa Reforçada P/Repinique 12""X30Cm Nylon Timbra ",$1.510,
"8393 Capa Reforçada P/Repique De Mão 10"" Nylon Timbra ",$1.439,
"8394 Capa Reforçada P/Repique De Anel 12"" Nylon Timbra ",$1.510,
"8594 Capa Reforçada P/Surdo 18""X40Cm Nylon Timbra ",$3.076,
"8595 Capa Reforçada P/Surdo 18""X55Cm Nylon Timbra ",$3.180,
"8596 Capa Reforçada P/Surdo 20""X40Cm Nylon Timbra ",$3.355,
"8597 Capa Reforçada P/Surdo 20""X60Cm Nylon Timbra ",$3.702,
"8598 Capa Reforçada P/Surdo 22""X40Cm Nylon Timbra ",$3.702,
"8599 Capa Reforçada P/Tamborim 06"" Nylon Timbra ",$626,
"8600 Capa Reforçada P/Tantam 12""X50Cm Nylon Timbra ",$1.684,
"8396 Capa Reforçada P/Tantam 14"" X70Cm Nylon Timbra ",$1.788,
"8601 Capa Reforçada P/Tarol 14""X06Cm Nylon Timbra ",$1.510,
"8602 Capa Reforçada P/Timbal 14""X90Cm Nylon Timbra ",$3.087,
8517 Talabarte P/Bumbo C/2 Mosquetões Couro Timbra ,$577,
8516 Talabarte P/Bumbo C/2 Mosquetões Nylon Timbra ,$457,
8525 Talabarte P/Tamborim C/1 Mosquetão Nylon Preto Suporte P/Baqueta Timbra ,$372,
